,_id,Dt_Fat,Dt_Entrega,Mes_Base,Ano_Exec,CO_Fabrica,CO_Cliente,Tp_Operacao,Incoterm,Veiculo,Qtd_Transp,Moeda,Vlr_Frete,flag_dt_consist
2,6422fe1fdeb0deaf178e8480,2021-01-15,2021-01-14,Jan,2021,3423909,2313,VD,CIF,P12,1600.0,BRL,5780.0,False
17,6422fe1fdeb0deaf178e848f,2021-01-17,2021-01-16,Jan,2021,3424402,2313,VD,FOB,P12,1800.0,BRL,0.0,False
51,6422fe1fdeb0deaf178e84b1,2021-01-07,2021-01-07,Jan,2021,3423909,2339,VD,FOB,P12,1800.0,BRL,0.0,False
63,6422fe1fdeb0deaf178e84bd,2021-01-14,2021-01-12,Jan,2021,3423909,2332,VD,FOB,P12,1600.0,BRL,0.0,False
68,6422fe1fdeb0deaf178e84c2,2021-01-20,2021-01-20,Jan,2021,3424402,2307,VD,FOB,P12,1200.0,BRL,5890.0,False
77,6422fe1fdeb0deaf178e84cb,2021-01-31,2021-01-28,Jan,2021,3424402,2327,VD,FOB,P12,1200.0,BRL,0.0,False
79,6422fe1fdeb0deaf178e84cd,2021-01-25,2021-01-25,Jan,2021,3423909,2330,VD,FOB,P12,1800.0,BRL,0.0,False
93,6422fe1fdeb0deaf178e84db,2021-01-24,2021-01-24,Jan,2021,3403208,2332,VD,FOB,P12,1600.0,BRL,0.0,False
125,6422fe1fdeb0deaf178e84fb,2021-01-30,2021-01-29,Jan,2021,3424402,2346,VD,FOB,P12,1200.0,BRL,0.0,False
138,6422fe1fdeb0deaf178e8508,2021-01-08,2021-01-08,Jan,2021,3403208,2332,VD,FOB,P12,1800.0,BRL,0.0,False
144,6422fe1fdeb0deaf178e850e,2021-01-08,2021-01-07,Jan,2021,3403208,2321,VD,FOB,P12,1200.0,BRL,0.0,False
156,6422fe1fdeb0deaf178e851a,2021-01-10,2021-01-07,Jan,2021,3424402,2335,VD,CIF,P12,1600.0,BRL,5116.0,False
160,6422fe1fdeb0deaf178e851e,2021-01-09,2021-01-09,Jan,2021,3423909,2303,VD,FOB,P12,1200.0,BRL,0.0,False
167,6422fe1fdeb0deaf178e8525,2021-01-10,2021-01-10,Jan,2021,3403208,2323,VD,FOB,P12,1600.0,BRL,0.0,False
228,6422fe1fdeb0deaf178e8562,2021-01-15,2021-01-14,Jan,2021,3423909,2323,VD,FOB,P12,1200.0,BRL,0.0,False
244,6422fe1fdeb0deaf178e8572,2021-01-17,2021-01-16,Jan,2021,3403208,2332,VD,FOB,P12,1600.0,BRL,0.0,False
251,6422fe1fdeb0deaf178e8579,2021-01-17,2021-01-17,Jan,2021,3424402,2321,VD,FOB,P12,1800.0,BRL,0.0,False
286,6422fe1fdeb0deaf178e859c,2021-01-03,2020-12-31,Jan,2021,3403208,2302,VD,FOB,P12,1600.0,BRL,0.0,False
294,6422fe1fdeb0deaf178e85a4,2021-01-03,2021-01-03,Jan,2021,3403208,2349,VD,FOB,P12,1200.0,BRL,0.0,False
295,6422fe1fdeb0deaf178e85a5,2021-01-03,2021-01-02,Jan,2021,3403208,2332,VD,FOB,P12,1200.0,BRL,0.0,False
304,6422fe1fdeb0deaf178e85ae,2021-01-02,2021-01-02,Jan,2021,3403208,2313,VD,FOB,P12,1600.0,BRL,0.0,False
